Stacking
0.050%
12.83%
0.0095%
2.42%
0.0052%
1.31%
0.97%
15.55%
0.72%
11.46%
0.65%
2.31%
5.24%
10.65%
16.49%
40.26%
3.11%
25.88%
0.33%
0.052
0.98%
1.35%
9.28%
3.00
0.000014%
0.000010%
-0.69
16.05
0.052
0.82
0.070
1.12
0.077
0.15
0.037
0.022
0.00017
0.0096
0.0047
0.0054
0.0031
0.0012
0.016
0.0019
0.0096
0.052
2700
60.0
